Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
4/18/15,Sat,La Liga,Matchweek 32,Home,W 2–0,Barcelona,Valencia,Y,,90,1,1,0,0,,,0,0,100,8,0,,2,1.2,1.2,0.4,7,2,67,77,87,11,102,20,10,14,Match Report
4/21/15,Tue,Champions Lg,Quarter-finals,Home,W 2–0,es Barcelona,fr Paris S-G,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
4/25/15,Sat,La Liga,Matchweek 33,Away,W 2–0,Barcelona,Espanyol,Y,,90,1,0,0,0,,,0,0,87,14,1,,1,0.6,0.6,0.5,5,0,66,77,85.7,8,83,9,7,9,Match Report
4/28/15,Tue,La Liga,Matchweek 34,Home,W 6–0,Barcelona,Getafe,Y,,90,2,1,1,1,,,0,0,82,3,0,,0,1.1,0.3,0.4,8,2,61,70,87.1,11,60,14,3,4,Match Report
5/2/15,Sat,La Liga,Matchweek 35,Away,W 8–0,Barcelona,Córdoba,Y,,90,2,1,0,0,,,0,0,85,3,0,,0,1.7,1.7,0.5,13,3,57,70,81.4,15,80,18,6,9,Match Report
5/6/15,Wed,Champions Lg,Semi-finals,Home,W 3–0,es Barcelona,de Bayern Munich,Y,,90,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
5/9/15,Sat,La Liga,Matchweek 36,Home,W 2–0,Barcelona,Real Sociedad,Y,,90,0,0,0,0,,,0,0,56,9,1,,1,0.4,0.4,0.3,3,0,21,36,58.3,8,50,10,2,4,Match Report
5/12/15,Tue,Champions Lg,Semi-finals,Away,L 2–3,es Barcelona,de Bayern Munich,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
5/17/15,Sun,La Liga,Matchweek 37,Away,W 1–0,Barcelona,Atlético Madrid,Y,,90,1,0,0,0,,,1,0,83,3,3,,0,0.5,0.5,0.4,7,1,57,63,90.5,11,80,17,8,8,Match Report
5/23/15,Sat,La Liga,Matchweek 38,Home,D 2–2,Barcelona,La Coruña,Y,,90,2,0,0,0,,,0,0,109,5,0,,0,1,1,0,5,1,81,99,81.8,10,89,9,6,7,Match Report
5/30/15,Sat,Copa del Rey,Final,Away,W 3–1,Barcelona,Athletic Club,Y,,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
6/6/15,Sat,Champions Lg,Final,Away,W 3–1,es Barcelona,it Juventus,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
6/13/15,Sat,Copa América,Group stage,Neutral,D 2–2,ar Argentina,py Paraguay,Y*,,90,1,0,1,1,7,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
6/16/15,Tue,Copa América,Group stage,Neutral,W 1–0,ar Argentina,uy Uruguay,Y*,,90,0,0,0,0,3,2,0,0,,,,1,,,,,,,,,,,,,,,Match Report
6/20/15,Sat,Copa América,Group stage,Neutral,W 1–0,ar Argentina,jm Jamaica,Y*,,90,0,0,0,0,7,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
6/26/15,Fri,Copa América,Quarter-finals,Neutral,D 0 (5)–0 (4),ar Argentina,co Colombia,Y*,,120,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
6/30/15,Tue,Copa América,Semi-finals,Neutral,W 6–1,ar Argentina,py Paraguay,Y*,,90,0,2,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
,,,,,54-7-8,,,67/69,,6157,62,31,8,11,17,6,7,0,3042,284,22,1,21,31.9,27.5,13,229,49,2015,2458,82,371,2716,561,224,332,
